date,hod,mcount
2020-04-17 18:03:40,18,1
2020-04-17 14:09:24,14,1
2020-04-15 11:31:29,11,1
2020-04-15 09:53:14,9,1
2020-04-07 12:40:28,12,1
2020-04-06 22:11:20,22,1
2020-04-06 22:11:03,22,1
2020-04-06 17:40:09,17,1
2020-04-06 14:04:50,14,1
2020-04-03 12:25:54,12,1
2020-04-03 08:44:28,8,1
2020-04-02 20:28:04,20,1
2020-03-31 15:12:38,15,1
2020-03-29 21:49:28,21,1
2020-03-29 13:06:15,13,1
2020-03-28 11:41:11,11,1
2020-03-28 11:26:10,11,1
2020-03-28 11:24:39,11,1
2020-03-27 18:41:59,18,1
2020-03-27 18:06:33,18,1
2020-03-27 14:54:22,14,1
2020-03-26 12:07:46,12,1
2020-03-26 12:04:45,12,1
2020-03-26 11:58:23,11,1
2020-03-26 11:56:13,11,1
2020-03-25 13:22:12,13,1
2020-03-25 13:21:21,13,1
2020-03-24 23:18:38,23,1
2020-03-24 19:55:25,19,1
2020-03-23 00:44:47,0,1
2020-03-17 13:56:51,13,1
2020-03-16 07:52:41,7,1
2020-03-15 17:57:19,17,1
2020-03-15 17:44:16,17,1
2020-03-12 07:35:23,7,1
2020-03-09 21:16:52,21,1
2020-02-21 09:12:49,9,1
2020-02-21 08:37:31,8,1
2020-02-21 08:36:29,8,1
2020-02-21 07:36:14,7,1
2020-02-19 21:42:26,21,1
2020-02-19 21:16:20,21,1
2020-02-19 21:15:02,21,1
2020-02-09 18:04:56,18,1
2020-02-05 00:40:29,0,1
2020-01-22 12:58:45,12,1
2020-01-16 10:48:56,10,1
2020-01-11 16:17:52,16,1
2019-11-18 09:15:08,9,1
2019-11-18 09:14:59,9,1
2019-11-17 12:31:36,12,1
2019-10-31 13:00:26,13,1
2019-10-23 10:04:45,10,1
2019-10-18 17:06:36,17,1
2019-10-17 16:42:05,16,1
2019-10-17 08:25:24,8,1
2019-10-02 12:01:50,12,1
2019-09-30 22:17:39,22,1
2019-09-30 10:46:59,10,1
2019-09-30 08:56:33,8,1
2019-09-30 05:55:18,5,1
2019-09-27 15:38:49,15,1
2019-09-26 17:35:46,17,1
2019-09-23 20:43:01,20,1
2019-09-16 13:51:39,13,1
2019-09-11 06:35:00,6,1
2019-09-09 09:30:53,9,1
2019-09-03 16:17:48,16,1
2019-08-30 07:21:31,7,1
2019-08-28 05:37:50,5,1
2019-08-24 19:41:22,19,1
2019-08-21 19:10:32,19,1
2019-08-18 09:31:29,9,1
2019-08-15 20:16:33,20,1
2019-07-26 13:44:54,13,1
2019-07-24 08:25:24,8,1
2019-07-15 07:16:09,7,1
2019-07-15 07:15:59,7,1
2019-07-12 08:38:37,8,1
2019-07-10 15:41:43,15,1
2019-07-10 15:35:19,15,1
2019-07-10 12:10:59,12,1
2019-07-10 12:04:16,12,1
2019-07-10 12:03:46,12,1
2019-07-10 08:50:15,8,1
2019-07-10 08:49:51,8,1
2019-07-10 08:46:18,8,1
2019-07-10 05:39:32,5,1
2019-07-08 12:53:07,12,1
2019-07-08 12:52:20,12,1
2019-07-05 05:52:26,5,1
2019-07-02 17:37:52,17,1
2019-07-02 16:39:12,16,1
2019-07-02 16:38:57,16,1
2019-07-01 14:51:49,14,1
2019-07-01 14:51:32,14,1
2019-06-28 07:21:39,7,1
2019-06-28 07:21:33,7,1
2019-06-28 06:37:34,6,1
2019-06-28 06:37:25,6,1
2019-06-27 11:24:22,11,1
2019-06-27 10:35:09,10,1
2019-06-27 07:28:15,7,1
2019-06-25 06:30:31,6,1
2019-06-20 15:18:05,15,1
2019-06-20 15:17:46,15,1
2019-06-20 15:17:18,15,1
2019-06-20 15:17:06,15,1
2019-06-18 18:05:15,18,1
2019-06-11 11:34:23,11,1
2019-06-11 11:06:02,11,1
2019-06-06 10:12:08,10,1
2019-06-06 06:31:03,6,1
2019-06-04 06:26:35,6,1
2019-06-04 05:47:32,5,1
2019-05-29 08:03:02,8,1
2019-05-23 08:08:02,8,1
2019-05-23 08:07:13,8,1
2019-05-22 15:23:39,15,1
2019-05-22 15:14:32,15,1
2019-05-22 13:24:32,13,1
2019-05-22 13:23:19,13,1
2019-05-22 12:23:24,12,1
2019-05-22 08:08:58,8,1
2019-05-22 08:08:48,8,1
2019-05-21 21:11:12,21,1
2019-05-21 21:10:56,21,1
2019-05-21 21:10:42,21,1
2019-05-21 21:10:10,21,1
2019-05-21 21:09:48,21,1
2019-05-20 15:49:49,15,1
2019-05-20 08:03:05,8,1
2019-05-20 08:02:43,8,1
2019-05-20 08:02:25,8,1
2019-05-20 08:02:07,8,1
2019-05-20 08:01:48,8,1
2019-05-20 08:00:59,8,1
2019-05-20 07:59:13,7,1
2019-05-19 15:24:26,15,1
2019-05-19 15:23:44,15,1
2019-05-19 15:07:04,15,1
2019-05-15 12:21:37,12,1
2019-05-09 11:46:18,11,1
2019-05-09 11:44:56,11,1
2019-05-09 11:43:43,11,1
2019-05-09 11:42:53,11,1
2019-05-09 11:42:24,11,1
2019-05-09 07:21:41,7,1
2019-05-09 07:18:56,7,1
2019-05-07 17:11:16,17,1
2019-05-07 17:10:58,17,1
2019-05-07 17:10:23,17,1
2019-05-07 17:09:40,17,1
2019-05-07 17:08:44,17,1
2019-05-07 17:07:56,17,1
2019-05-07 17:07:05,17,1
2019-05-07 17:06:43,17,1
2019-05-07 17:05:18,17,1
2019-05-07 17:04:56,17,1
2019-05-07 17:04:05,17,1
2019-05-07 17:03:26,17,1
2019-05-07 17:03:08,17,1
2019-05-07 17:02:00,17,1
2019-05-07 17:01:19,17,1
2019-05-07 17:00:07,17,1
2019-05-07 16:59:01,16,1
2019-05-07 16:56:41,16,1
2019-05-07 16:54:12,16,1
2019-05-07 16:53:12,16,1
2019-05-07 16:52:06,16,1
2019-05-07 16:51:28,16,1
2019-05-07 16:49:40,16,1
2019-05-07 16:48:10,16,1
2019-05-07 16:47:34,16,1
2019-05-07 16:46:48,16,1
2019-05-07 12:08:02,12,1
2019-05-07 07:56:10,7,1
2019-04-17 04:36:17,4,1
2019-04-04 10:50:55,10,1
2019-03-22 09:57:12,9,1
2019-03-21 15:56:42,15,1
2019-03-21 15:55:16,15,1
2019-02-20 15:33:35,15,1
2019-02-14 20:05:50,20,1
2019-02-07 13:51:31,13,1
2019-02-05 16:34:42,16,1
2019-02-05 12:42:39,12,1
2019-02-05 09:59:51,9,1
2019-02-05 09:59:46,9,1
2019-02-04 16:19:24,16,1
2019-02-04 16:18:46,16,1
2019-02-04 16:16:50,16,1
2019-01-23 18:21:32,18,1
2019-01-12 10:16:38,10,1
2019-01-10 14:55:11,14,1
2019-01-08 13:21:28,13,1
2019-01-08 11:02:50,11,1
2019-01-08 11:02:50,11,1
2019-01-08 10:59:25,10,1
2018-12-20 19:32:33,19,1
2018-12-19 15:30:46,15,1
2018-12-18 23:15:01,23,1
2018-12-12 17:06:48,17,1
2018-12-07 14:55:06,14,1
2018-12-07 13:25:58,13,1
2018-12-07 13:25:26,13,1
2018-12-06 21:42:19,21,1
2018-12-06 21:41:01,21,1
2018-12-03 20:06:51,20,1
2018-11-30 19:54:02,19,1
2018-11-28 17:29:45,17,1
2018-11-28 17:03:25,17,1
2018-11-28 17:03:05,17,1
2018-11-28 15:54:58,15,1
2018-11-27 21:50:10,21,1
2018-11-27 14:42:40,14,1
2018-11-23 22:45:43,22,1
2018-11-22 16:10:08,16,1
2018-11-17 06:59:21,6,1
2018-11-15 20:56:46,20,1
2018-11-13 16:23:31,16,1
2018-11-13 15:24:35,15,1
2018-11-11 14:54:27,14,1
2018-11-08 18:06:34,18,1
2018-10-21 20:31:43,20,1
2018-10-03 21:20:52,21,1
2018-09-29 21:20:46,21,1
2018-09-26 20:58:39,20,1
2018-09-26 20:56:49,20,1
2018-09-26 18:05:00,18,1
2018-09-25 22:54:37,22,1
2018-09-23 06:00:13,6,1
2018-09-22 12:38:03,12,1
2018-09-18 20:03:04,20,1
2018-09-17 16:12:30,16,1
2018-09-17 16:08:56,16,1
2018-09-17 14:12:56,14,1
2018-09-17 13:47:54,13,1
2018-09-17 13:47:04,13,1
2018-09-17 13:45:27,13,1
2018-09-17 13:39:46,13,1
2018-09-17 13:38:42,13,1
2018-09-17 13:36:16,13,1
2018-09-17 13:35:01,13,1
2018-09-14 17:37:32,17,1
2018-09-09 06:22:22,6,1
2018-09-05 20:49:23,20,1
2018-09-04 18:31:25,18,1
2018-08-30 13:32:22,13,1
2018-08-30 13:07:53,13,1
2018-08-27 20:27:38,20,1
2018-08-27 20:25:20,20,1
2018-08-25 18:27:28,18,1
