date,fname,male,female
2009-06-02 18:04:21,harold,True,False
2009-06-02 18:10:50,marie,False,True
2009-06-02 18:19:26,sylvain,True,False
2009-06-02 18:21:42,anne-sophie,False,True
2009-06-02 18:29:05,aurelie,False,True
2009-06-02 18:38:12,alizee,False,True
2009-06-02 18:48:05,louis,True,False
2009-06-02 18:59:09,nathan,True,False
2009-06-02 19:03:55,antoine,True,False
2009-06-02 19:42:22,jean-eudes,True,False
2009-06-02 20:04:34,marie,False,True
2009-06-02 22:34:59,olivier,True,False
2009-06-03 08:10:01,jacques,True,False
2009-06-03 09:56:43,vincent,True,False
2009-06-03 10:14:56,gabby,False,True
2009-06-03 10:14:57,adele,False,True
2009-06-03 10:54:19,mathilde,False,True
2009-06-03 11:02:51,alberto,True,False
2009-06-03 11:03:51,gauvain,True,False
2009-06-03 11:09:29,damian,True,False
2009-06-03 11:12:26,jean,True,False
2009-06-03 11:14:42,nicolas,True,False
2009-06-03 16:07:57,gregoire,True,False
2009-06-03 16:44:04,guillaume,True,False
2009-06-03 16:44:07,claire,False,True
2009-06-03 17:20:18,loic,True,False
2009-06-03 18:02:06,charlotte,False,True
2009-06-03 18:17:32,thomas,True,False
2009-06-03 19:47:31,stanislas,True,False
2009-06-03 19:55:49,theophile,True,False
2009-06-03 20:26:37,bianka,False,True
2009-06-04 07:41:59,gildas,True,False
2009-06-04 14:38:25,lauren,False,True
2009-06-04 14:38:29,remi,True,False
2009-06-04 14:38:35,maximilien,True,False
2009-06-04 14:44:56,laureen-emma,False,True
2009-06-04 18:20:16,cam,False,True
2009-06-04 18:40:14,theophanie,False,True
2009-06-04 19:23:52,antoine,True,False
2009-06-05 10:25:28,tifene,False,True
2009-06-05 14:36:43,penelope,False,True
2009-06-05 17:57:48,aymeric,True,False
2009-06-05 18:15:35,servane,False,True
2009-06-06 08:53:26,elliot,True,False
2009-06-06 18:06:07,marie,False,True
2009-06-07 10:06:09,yann,True,False
2009-06-07 20:13:25,jules,True,False
2009-06-08 12:05:04,antoine,True,False
2009-06-08 15:55:29,baptiste,True,False
2009-06-08 16:58:00,juliette,False,True
