Month,France
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,1
2007-08,1
2007-09,1
2007-10,2
2007-11,5
2007-12,5
2008-01,5
2008-02,5
2008-03,6
2008-04,7
2008-05,10
2008-06,13
2008-07,14
2008-08,15
2008-09,19
2008-10,24
2008-11,32
2008-12,40
2009-01,45
2009-02,50
2009-03,53
2009-04,54
2009-05,55
2009-06,60
2009-07,63
2009-08,68
2009-09,72
2009-10,75
2009-11,77
2009-12,82
2010-01,85
2010-02,85
2010-03,88
2010-04,95
2010-05,93
2010-06,97
2010-07,98
2010-08,96
2010-09,97
2010-10,96
2010-11,96
2010-12,96
2011-01,97
2011-02,96
2011-03,94
2011-04,95
2011-05,87
2011-06,89
2011-07,90
2011-08,90
2011-09,86
2011-10,86
2011-11,81
2011-12,84
2012-01,79
2012-02,82
2012-03,81
2012-04,80
2012-05,81
2012-06,80
2012-07,80
2012-08,80
2012-09,77
2012-10,96
2012-11,100
2012-12,98
2013-01,94
2013-02,95
2013-03,91
2013-04,90
2013-05,90
2013-06,89
2013-07,89
2013-08,90
2013-09,82
2013-10,79
2013-11,77
2013-12,74
2014-01,69
2014-02,67
2014-03,66
2014-04,65
2014-05,66
2014-06,66
2014-07,65
2014-08,65
2014-09,63
2014-10,62
2014-11,58
2014-12,56
2015-01,55
2015-02,53
2015-03,51
2015-04,52
2015-05,52
2015-06,50
2015-07,51
2015-08,52
2015-09,47
2015-10,50
2015-11,50
2015-12,47
2016-01,47
2016-02,48
2016-03,47
2016-04,47
2016-05,46
2016-06,45
2016-07,45
2016-08,45
2016-09,41
2016-10,42
2016-11,39
2016-12,40
2017-01,38
2017-02,38
2017-03,37
2017-04,37
2017-05,36
2017-06,36
2017-07,36
2017-08,38
2017-09,37
2017-10,35
2017-11,32
2017-12,31
2018-01,30
2018-02,29
2018-03,29
2018-04,27
2018-05,27
2018-06,26
2018-07,26
2018-08,26
2018-09,25
2018-10,24
2018-11,24
2018-12,24
2019-01,22
2019-02,21
2019-03,21
2019-04,20
2019-05,21
2019-06,20
2019-07,20
2019-08,20
2019-09,19
2019-10,18
2019-11,18
2019-12,18
2020-01,17
2020-02,18
2020-03,20
2020-04,21
