Month,USA
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,1
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,2
2005-10,2
2005-11,2
2005-12,2
2006-01,2
2006-02,2
2006-03,2
2006-04,2
2006-05,2
2006-06,2
2006-07,3
2006-08,3
2006-09,3
2006-10,4
2006-11,4
2006-12,4
2007-01,4
2007-02,4
2007-03,5
2007-04,5
2007-05,5
2007-06,6
2007-07,7
2007-08,8
2007-09,9
2007-10,9
2007-11,9
2007-12,9
2008-01,8
2008-02,8
2008-03,9
2008-04,10
2008-05,10
2008-06,12
2008-07,14
2008-08,16
2008-09,17
2008-10,18
2008-11,21
2008-12,24
2009-01,28
2009-02,33
2009-03,35
2009-04,35
2009-05,39
2009-06,41
2009-07,46
2009-08,52
2009-09,56
2009-10,56
2009-11,60
2009-12,61
2010-01,65
2010-02,67
2010-03,64
2010-04,69
2010-05,69
2010-06,72
2010-07,86
2010-08,87
2010-09,93
2010-10,95
2010-11,97
2010-12,100
2011-01,84
2011-02,86
2011-03,80
2011-04,87
2011-05,84
2011-06,84
2011-07,91
2011-08,94
2011-09,97
2011-10,93
2011-11,87
2011-12,90
2012-01,86
2012-02,86
2012-03,82
2012-04,81
2012-05,81
2012-06,81
2012-07,83
2012-08,78
2012-09,75
2012-10,93
2012-11,94
2012-12,97
2013-01,92
2013-02,87
2013-03,86
2013-04,85
2013-05,85
2013-06,88
2013-07,84
2013-08,82
2013-09,76
2013-10,73
2013-11,71
2013-12,71
2014-01,68
2014-02,68
2014-03,66
2014-04,65
2014-05,65
2014-06,69
2014-07,71
2014-08,70
2014-09,68
2014-10,67
2014-11,68
2014-12,66
2015-01,65
2015-02,62
2015-03,65
2015-04,65
2015-05,65
2015-06,66
2015-07,58
2015-08,57
2015-09,56
2015-10,55
2015-11,58
2015-12,55
2016-01,62
2016-02,61
2016-03,63
2016-04,62
2016-05,63
2016-06,62
2016-07,60
2016-08,60
2016-09,54
2016-10,54
2016-11,52
2016-12,51
2017-01,52
2017-02,49
2017-03,48
2017-04,49
2017-05,49
2017-06,51
2017-07,51
2017-08,49
2017-09,46
2017-10,43
2017-11,41
2017-12,40
2018-01,41
2018-02,37
2018-03,38
2018-04,37
2018-05,36
2018-06,37
2018-07,37
2018-08,37
2018-09,35
2018-10,33
2018-11,32
2018-12,31
2019-01,31
2019-02,30
2019-03,30
2019-04,29
2019-05,30
2019-06,31
2019-07,30
2019-08,29
2019-09,27
2019-10,27
2019-11,26
2019-12,26
2020-01,26
2020-02,25
2020-03,27
2020-04,28
