lang,domain,description
fr,01net.com,"Retrouvez l'actualité high tech, les tests produits et logiciels réalisés par les experts 01net, télécharger les meilleurs logiciels et jouer en ligne gratuitement"
en,adhesion.co.nz,Online marketing solutions for lead generation. Full service digital marketing & online advertising agency delivering traffic generation solutions through to…
fr,adonisky.fr,Les Oeuvres Choisies d'Adonisky
en,alan.com,
en,alz.org,"Alzheimer's Association national site – information on Alzheimer's disease and dementia symptoms, diagnosis, stages, treatment, care and support resources. "
en,amazon.com,
fr,audible.fr,"Votre premier livre audio est offert ! N’attendez plus, téléchargez l’appli Audible et choisissez votre titre parmi plus de 400 000 livres audio et podcasts. La lecture audio vous accompagne tout au long de la journée : dans les transports, au sport ou avant de vous endormir, à vous de choisir."
en,autismspeaks.org,"Many corporations offer employee giving programs where they match donations. If you volunteer with Autism Speaks, your company may also offer a volunteer grant program."
en,ayotheauthor.com,
en,bananatag.com,"Bananatag is the internal communications email tracking tool that helps you send beautiful, engaging, measurable employee emails."
fr,beauxarts.com,"L’art comme vous ne le verrez nulle part ailleurs : expositions, vidéos d’artistes, guides, dossiers et reportages."
fr,bfmtv.com,"BFMTV - 1ère sur l'info. Retrouver toute l'actualité en direct, en photo et en vidéo sur l'info politique, sociale, économique, sportive et internationale."
fr,bose.fr,"Le site Web officiel de Bose. Découvrez nos solutions innovantes pour ressentir, agir et vivre plus intensément. Découvrez nos casques, écouteurs, enceintes, produits portables et produits « bien-être »."
en,bostonherald.com,"The Boston Herald is the leading source of breaking news, local news, sports, politics, entertainment, opinion and weather in Boston, Massachusetts."
fr,businessinsider.com,"Business Insider France est un site d’information sur l’économie, les technologies, les entrepreneurs, l’innovation, les découvertes et bien plus encore. En texte, en images, en vidéos et en graphiques, de l’actualité essentielle et percutante."
en,canyon.com,"Discover the best bikes, at the best price direct to your door. Shop mountain, road, triathlon, gravity, urban, fitness, accessories and get expert support buying online."
en,capterra.com,
en,codica.com,"We develop complex digital products with advanced web-experience (Single page apps, Progressive web apps) and assisting you to deliver your product to the market"
fr,cosmopolitan.fr,"Cosmopolitan.fr, le site Web qui vous réussit. Cosmopolitan.fr est votre rendez-vous quotidien pour découvrir et partager les dernières tendances mode."
en,coursera.org,"Join Coursera for free and learn online. Build skills with courses from top universities like Yale, Michigan, Stanford, and leading companies like Google and IBM. Advance your career with degrees, certificates, Specializations, &amp; MOOCs in data science, computer science, business, and dozens of other topics."
en,creativeboom.com,
fr,credit-agricole.fr,"Découvrez les offres et services du Crédit Agricole : comptes bancaire, assurance-vie, épargne, placement, retraite, habitation, prévoyance, crédit conso ou auto, crédit immobilier…"
fr,croix-rouge.fr,"Croix-Rouge française - Partout où vous avez besoin de nous : notre histoire, nos actions, nos formations et comment vous engager."
en,datadoghq.com,"See inside any stack, any app, at any scale, anywhere."
en,datascience.movie,
en,devpost.com,"Participate in online virtual and in-person hackathons to build products, practice skills, learn technologies, win prizes, and grow your network."
en,doodle.com,
en,eagle.cool,"Unify your creative inspiration in one place. Store anything – inspiring images, design mockups, illustrations, screenshots and more."
en,ecosia.org,"Ecosia uses the ad revenue from your searches to plant trees where they are needed the most. By searching with Ecosia, you’re not only reforesting our planet, but you’re also empowering the communities around our planting projects to build a better future for themselves. Give it a try!"
fr,eventbrite.fr,Eventbrite rapproche les gens grâce à des expériences en direct. Découvrez des événements qui correspondent à vos passions ou créez votre propre événement avec les outils de billetterie en ligne.
fr,flixbus.fr,"Découvrez l'alternative pour voyager pas cher en France et à l'étranger ✔ Billets de bus dès 2,99€ ✔ Choisissez parmi 2 500 destinations dans 29 pays ✔ Wi-fi & prises électriques à bord ✔ 2 bagages gratuits ✔ Voyagez sur le réseau FlixBus, le plus grand d'Europe!"
fr,fluffy-chess.fr,Jouez aux échecs avec style ! Retrouvez des produits uniques pour partager votre passion des échecs. Les échecs n'ont jamais été aussi stylés.
en,fnac.com,
fr,france.tv,"Regarder la tv en direct et en streaming 24h/24 - tous les programmes des chaînes de France Télévisions en direct, en avant-première ou en replay sur france.tv"
fr,franceinter.fr,"Toute l'info analysée & décryptée par France Inter : politique, société, culture, humour, musique, sciences… Écoutez la radio et Inter-venez !"
en,francetvinfo.fr,
fr,fredzone.org,"Fredzone.org est un site high-tech spécialisé dans la culture numérique, dans les solutions logicielles à la mode (OS X, Windows 8, Linux) et dans les technologies mobiles (iOS, Android, Windows Phone)."
en,getaround.com,"Rent nearby cars, trucks, and vans, by the hour or day, on Getaround. No lines or key exchanges. Simply rent, unlock, and go in an instant with the Getaround app. Or learn how to earn with Getaround carsharing and offset the high cost of ownership."
en,giphy.com,"GIPHY is your top source for the best & newest GIFs & Animated Stickers online. Find everything from funny GIFs, reaction GIFs, unique GIFs and more."
fr,godaddy.com,"Votre solution tout en un pour évoluer en ligne. Commencez un essai gratuit pour créer un site Web magnifique, acheter un nom de domaine, un hébergement rapide, un marketing en ligne et un support technique primé."
en,gold.fr,
en,growth.design,Learn the growth & design strategies used by the top product companies in the world. Discover how to craft great experiences and get more customers.
en,gumroad.com,"Sell music, comics, software, books, and films directly to your audience."
en,hellboundbloggers.com,"HellBound Bloggers (HBB) is a web magazine covering topics like Blogging, Making Money Online, Social Media, SEO, Internet Marketing and much more."
fr,hosman.co,"Vendez votre bien immobilier en toute confiance, simplement avec Hosman, la néo-agence immobilière ! Prix fixe de 4900€, au succès."
en,hostgator.com,HostGator is a leading provider of secure and easy website hosting services. Discover why thousands of customers trust us to handle their hosting needs.
en,howtogeek.com,We Explain Technology
en,hubspot.com,"HubSpot offers a full platform of marketing, sales, customer service, and CRM software — plus the methodology, resources, and support — to help businesses grow better. Get started with free tools, and upgrade as you grow."
en,iconscout.com,
fr,ignition-program.com,Ignition Program vous aide à accéder aux meilleurs jobs dans les startups les plus innovantes d'Europe.
en,infogram.com,"Infogram is an easy to use infographic and chart maker. Create and share beautiful infographics, online reports, and interactive maps. Make your own here."
fr,jeuxvideo.com,"Jeuxvideo.com est le premier site d'information sur l'actualité du jeu vidéo. Vous voulez suivre les news, les tests, les aperçus des jeux de vos consoles favorites (PC, playstation 3 et playstation 4, xbox 360 et xbox one, Nintendo Wii U et 3DS, PSP VITA, et sur smartphone iPhone ou Android) ? Vous..."
en,joinhoney.com,Honey is a browser extension that automatically finds and applies coupon codes at checkout with a single click.
en,kff.org,
fr,kobo.com,"Découvrez plus de 6 millions d'eBooks et de livres audio à dévorer sur des liseuses primées, et l'appli de lecture gratuite Rakuten Kobo. Retrouvez chaque jour des promos, lisez des extraits et des critiques, et profitez de recommandations de lecture."
fr,konbini.com,"Musique, Cinéma, Séries, Fashion et Pop Culture. Retrouvez les formats iconiques de Konbini comme Fast and Curious, Video Club, Fastlife, Trou Story, Track ID"
en,krisp.ai,"With a single button, Krisp removes all background noises for incoming and outgoing calls. Increase your productivity by having professional and noiseless conference calls from anywhere."
en,learngitbranching.js.org,
